ID,DEMAND_DATE,SUPPLY_DATE,DEMAND_QUANTITY,SUPPLY_QUANTITY,UEPSD,ULPSD,END_DEMAND_DATE,END_SUPPLY_DATE,END_DEMAND_QUANTITY,END_SUPPLY_QUANTITY,END_UEPSD,END_ULPSD,ITEM_DESCRIPTION,END_ITEM_COST,END_ITEM_DESCRIPTION,LINE_VALUE,MFG_PART,ITEM_TYPE,SUPPLY_ORG_ID,CREDIT_STATUS,ORIGINATION_TYPE,END_ORDER_NUMBER,ORDER_NUMBER,DEMAND_OE_NUMBER,DEMAND_ORDER,ORDER_TYPE,ITEM_NAME,END_ITEM_NAME,frozen cost,stripe,mgmt stripe,SUPPLY_TYPE,ALLOCATED_QUANTITY,STANDARD_COST,ORGANIZATION_CODE,PLANNER_CODE,PLANNING_MAKE_BUY_CODE,SUPPLY_NAME,MAKE_BUY_CODE,ITEM_STATUS,ATTRIBUTE13,LJ_END_DEMAND,DEMAND_DATE_1,OLD_DOCK_DATE,SUPPLY_ORDER_NUMBER,DEMAND_ID,END_DEMAND_ID,PEGGING_ID,END_PEGGING_ID,qty per,line value
696631-01786853-01,5/18/2021 0:00,8/3/2021 0:00,1,500,44411.37639,44411.37639,44440,44440,2,5,44554.99931,44413.99931,"IC,SM,TPS73701DRV,1A LDO REGULATOR WITH REVERSE CURRENT PROTECTION,2MM X 2MM SON,H=.032IN",11607.8038,PXIE-5831 MMWAVE VST - IF,49412.00635,196945E-01L,RM,1044,,29,,,,FCST,,696631-01,786853-01,11427,Test,RF Test,Purchase order,1.064198,0.65872,EBZ:PEN,VST5G,2,,2,Active,B,,44440.99931,44461,70047970(71)(667)(21),1963672023,1928902957,13977518,845,1,48642.36218
696631-01786853-01,5/18/2021 0:00,8/3/2021 0:00,1,500,44411.37639,44411.37639,44440,44440,2,5,44554.99931,44413.99931,"IC,SM,TPS73701DRV,1A LDO REGULATOR WITH REVERSE CURRENT PROTECTION,2MM X 2MM SON,H=.032IN",11607.8038,PXIE-5831 MMWAVE VST - IF,49412.00635,196945E-01L,RM,1044,,29,,,,FCST,,696631-01,786853-01,11427,Test,RF Test,Purchase order,1.064198,0.65872,EBZ:PEN,VST5G,2,,2,Active,B,,44440.99931,44461,70047970(71)(667)(21),1963672023,1928902957,13977519,845,1,48642.36218
695351B-01786853-01,5/18/2021 0:00,8/3/2021 0:00,1,1000,44411.37639,44411.37639,44440,44440,2,5,44554.99931,44413.99931,"BGA IC,SM,ASIC,STC3,FBGA456,H=0.102IN",11607.8038,PXIE-5831 MMWAVE VST - IF,46431.2152,196945E-01L,RM,1044,,29,,,,FCST,,695351B-01,786853-01,11427,Test,RF Test,Purchase order,1,8.94601,EBZ:PEN,VST5G,2,,2,Active,B,,44440.99931,44375,70059552( )(1)(1),1963672021,1928902957,13739468,845,1,45708
695351B-01786853-01,5/18/2021 0:00,8/3/2021 0:00,1,1000,44411.37639,44411.37639,44440,44440,2,5,44554.99931,44413.99931,"BGA IC,SM,ASIC,STC3,FBGA456,H=0.102IN",11607.8038,PXIE-5831 MMWAVE VST - IF,46431.2152,196945E-01L,RM,1044,,29,,,,FCST,,695351B-01,786853-01,11427,Test,RF Test,Purchase order,1,8.94601,EBZ:PEN,VST5G,2,,2,Active,B,,44440.99931,44375,70059552( )(1)(1),1963672021,1928902957,13739467,845,1,45708
698364-01786853-01,7/7/2021 0:00,8/9/2021 0:00,2,352,44411.37639,44411.37639,44470,44470,1,1,44957.99931,44469.99931,"IC,SM,10M08SAU169I7G,CPLD,MAX10,169UBGA,H=.059IN",11607.8038,PXIE-5831 MMWAVE VST - IF,92862.4304,156673E-01L,RM,1044,,29,,,,FCST,,698364-01,786853-01,11427,Test,RF Test,Purchase order,2,8.4786,EBZ:PEN,VST5G,2,,2,Active,B,,44470.99931,44371,70059407( )(1)(1),1967136799,1928977324,15066393,846,2,45708
696631-01786853-01,5/18/2021 0:00,8/3/2021 0:00,1,500,44411.37639,44411.37639,44470,44470,1,1,44957.99931,44469.99931,"IC,SM,TPS73701DRV,1A LDO REGULATOR WITH REVERSE CURRENT PROTECTION,2MM X 2MM SON,H=.032IN",11607.8038,PXIE-5831 MMWAVE VST - IF,49412.00635,196945E-01L,RM,1044,,29,,,,FCST,,696631-01,786853-01,11427,Test,RF Test,Purchase order,1.064198,0.65872,EBZ:PEN,VST5G,2,,2,Active,B,,44470.99931,44461,70047970(71)(667)(21),1963672023,1928977324,13977531,846,1,48642.36218
695351B-01786853-01,5/18/2021 0:00,8/3/2021 0:00,1,1000,44411.37639,44411.37639,44470,44470,1,1,44957.99931,44469.99931,"BGA IC,SM,ASIC,STC3,FBGA456,H=0.102IN",11607.8038,PXIE-5831 MMWAVE VST - IF,46431.2152,196945E-01L,RM,1044,,29,,,,FCST,,695351B-01,786853-01,11427,Test,RF Test,Purchase order,1,8.94601,EBZ:PEN,VST5G,2,,2,Active,B,,44470.99931,44375,70059552( )(1)(1),1963672021,1928977324,13739480,846,1,45708
612392-01786853-01,8/17/2021 0:00,8/3/2021 0:00,4,100,44411.37639,44411.37639,44519,44519,1,1,44957.99931,44519.99931,"GAIN EQUALIZER,SM,AEG05510,50 OHM,2.25DB,32GHZ,H=.006IN",11607.8038,PXIE-5831 MMWAVE VST - IF,185724.8608,144193C-02L,RM,1044,,30,22178473.IN Standard.ORDER ENTRY(6.1),,22178473.IN Standard.ORDER ENTRY(6.1),Sales Order,,612392-01,786853-01,11427,Test,RF Test,Purchase order,4,7.46769,EBZ:PEN,VST5G,2,,2,Active,B,,44515.99931,44414,701948(126)(68)(1),1968341444,1929059288,15143661,848,4,45708
698330-01786853-01,8/17/2021 0:00,8/27/2021 0:00,4,3000,44411.37639,44411.37639,44519,44519,1,1,44957.99931,44519.99931,"IC,SM,HMC788ALP2E,AMP,PHEMT GAIN BLOCK,MMIC,DC - 10 GHZ,H=.041IN",11607.8038,PXIE-5831 MMWAVE VST - IF,193463.4121,144199C-01L,RM,1044,,30,22178473.IN Standard.ORDER ENTRY(6.1),,22178473.IN Standard.ORDER ENTRY(6.1),Sales Order,,698330-01,786853-01,11427,Test,RF Test,Purchase order,4.166667,3.1523,EBZ:PEN,VST5G,2,,2,Active,B,,44515.99931,44431,704290(734)(770)(21),1966907486,1929059288,15068179,848,14,13603.57252
698330-01786853-01,8/17/2021 0:00,8/27/2021 0:00,1,3000,44411.37639,44411.37639,44519,44519,1,1,44957.99931,44519.99931,"IC,SM,HMC788ALP2E,AMP,PHEMT GAIN BLOCK,MMIC,DC - 10 GHZ,H=.041IN",11607.8038,PXIE-5831 MMWAVE VST - IF,50300.46766,144196D-01L,RM,1044,,30,22178473.IN Standard.ORDER ENTRY(6.1),,22178473.IN Standard.ORDER ENTRY(6.1),Sales Order,,698330-01,786853-01,11427,Test,RF Test,Purchase order,1.083333,3.1523,EBZ:PEN,VST5G,2,,2,Active,B,,44515.99931,44431,704290(734)(770)(21),1935306592,1929059288,15068149,848,14,3536.927483
698330-01786853-01,8/17/2021 0:00,8/27/2021 0:00,7,3000,44411.37639,44411.37639,44519,44519,1,1,44957.99931,44519.99931,"IC,SM,HMC788ALP2E,AMP,PHEMT GAIN BLOCK,MMIC,DC - 10 GHZ,H=.041IN",11607.8038,PXIE-5831 MMWAVE VST - IF,336626.3102,144196D-01L,RM,1044,,30,22178473.IN Standard.ORDER ENTRY(6.1),,22178473.IN Standard.ORDER ENTRY(6.1),Sales Order,,698330-01,786853-01,11427,Test,RF Test,Purchase order,7.25,3.1523,EBZ:PEN,VST5G,2,,2,Active,B,,44515.99931,44431,704290(734)(770)(21),1935306593,1929059288,15068164,848,14,23670.21429
698330-01786853-01,8/17/2021 0:00,8/27/2021 0:00,2,3000,44411.37639,44411.37639,44519,44519,1,1,44957.99931,44519.99931,"IC,SM,HMC788ALP2E,AMP,PHEMT GAIN BLOCK,MMIC,DC - 10 GHZ,H=.041IN",11607.8038,PXIE-5831 MMWAVE VST - IF,96731.68286,144199C-01L,RM,1044,,30,22178473.IN Standard.ORDER ENTRY(6.1),,22178473.IN Standard.ORDER ENTRY(6.1),Sales Order,,698330-01,786853-01,11427,Test,RF Test,Purchase order,2.083333,3.1523,EBZ:PEN,VST5G,2,,2,Active,B,,44515.99931,44431,704290(734)(770)(21),1966907487,1929059288,15068194,848,14,6801.784626
